FIPS,COUNTY,FIPS3,FIPS2
1131,Wilcox County,'01131',1131
1133,Winston County,'01133',1133
2013,Aleutians East Borough[a],'02013',2013
2016,Aleutians West Census Area[b],'02016',2016
2020,"Anchorage, Municipality of[a][c]",'02020',2020
2050,Bethel Census Area[b],'02050',2050
2060,Bristol Bay Borough[a],'02060',2060
2068,Denali Borough[a],'02068',2068
2070,Dillingham Census Area[b],'02070',2070
2090,Fairbanks North Star Borough[a],'02090',2090
2100,Haines Borough[a],'02100',2100
2105,Hoonah–Angoon Census Area[b],'02105',2105
2110,"Juneau, City and Borough of[a][d]",'02110',2110
2122,Kenai Peninsula Borough[a],'02122',2122
2130,Ketchikan Gateway Borough[a],'02130',2130
2150,Kodiak Island Borough[a],'02150',2150
2158,Kusilvak Census Area[b],'02158',2158
2164,Lake and Peninsula Borough[a],'02164',2164
2170,Matanuska-Susitna Borough[a],'02170',2170
2180,Nome Census Area[b],'02180',2180
2185,North Slope Borough[a],'02185',2185
2188,Northwest Arctic Borough[a],'02188',2188
2195,Petersburg Borough[a][e],'02195',2195
2198,Prince of Wales – Hyder Census Area[b],'02198',2198
2220,"Sitka, City and Borough of[a][f]",'02220',2220
2230,"Skagway, Municipality of[a]",'02230',2230
2240,Southeast Fairbanks Census Area[b],'02240',2240
2261,Valdez–Cordova Census Area[b],'02261',2261
2275,"Wrangell, City and Borough of[a]",'02275',2275
2282,"Yakutat, City and Borough of[a][g]",'02282',2282
2290,Yukon–Koyukuk Census Area[b],'02290',2290
60010,Eastern District[2],'060010',6001
60020,Manu'a District[2],'060020',6002
60030,Rose Atoll (Rose Island)[2],'060030',6003
60040,Swains Island[2],'060040',6004
60050,Western District[2],'060050',6005
4001,Apache County,'04001',4001
4003,Cochise County,'04003',4003
4005,Coconino County,'04005',4005
4007,Gila County,'04007',4007
4009,Graham County,'04009',4009
4011,Greenlee County,'04011',4011
4012,La Paz County,'04012',4012
4013,Maricopa County,'04013',4013
4015,Mohave County,'04015',4015
4017,Navajo County,'04017',4017
4019,Pima County,'04019',4019
4021,Pinal County,'04021',4021
4023,Santa Cruz County,'04023',4023
4025,Yavapai County,'04025',4025
4027,Yuma County,'04027',4027
5001,Arkansas County,'05001',5001
5003,Ashley County,'05003',5003
5005,Baxter County,'05005',5005
5007,Benton County,'05007',5007
5009,Boone County,'05009',5009
5011,Bradley County,'05011',5011
5013,Calhoun County,'05013',5013
5015,Carroll County,'05015',5015
5017,Chicot County,'05017',5017
5019,Clark County,'05019',5019
5021,Clay County,'05021',5021
5023,Cleburne County,'05023',5023
5025,Cleveland County,'05025',5025
5027,Columbia County,'05027',5027
5029,Conway County,'05029',5029
5031,Craighead County,'05031',5031
5033,Crawford County,'05033',5033
5035,Crittenden County,'05035',5035
5037,Cross County,'05037',5037
5039,Dallas County,'05039',5039
5041,Desha County,'05041',5041
5043,Drew County,'05043',5043
5045,Faulkner County,'05045',5045
5047,Franklin County,'05047',5047
5049,Fulton County,'05049',5049
5051,Garland County,'05051',5051
5053,Grant County,'05053',5053
5055,Greene County,'05055',5055
5057,Hempstead County,'05057',5057
5059,Hot Spring County,'05059',5059
5061,Howard County,'05061',5061
5063,Independence County,'05063',5063
5065,Izard County,'05065',5065
5067,Jackson County,'05067',5067
5069,Jefferson County,'05069',5069
5071,Johnson County,'05071',5071
5073,Lafayette County,'05073',5073
5075,Lawrence County,'05075',5075
5077,Lee County,'05077',5077
5079,Lincoln County,'05079',5079
5081,Little River County,'05081',5081
5083,Logan County,'05083',5083
5085,Lonoke County,'05085',5085
5087,Madison County,'05087',5087
5089,Marion County,'05089',5089
5091,Miller County,'05091',5091
5093,Mississippi County,'05093',5093
5095,Monroe County,'05095',5095
5097,Montgomery County,'05097',5097
5099,Nevada County,'05099',5099
5101,Newton County,'05101',5101
5103,Ouachita County,'05103',5103
5105,Perry County,'05105',5105
5107,Phillips County,'05107',5107
5109,Pike County,'05109',5109
5111,Poinsett County,'05111',5111
5113,Polk County,'05113',5113
5115,Pope County,'05115',5115
5117,Prairie County,'05117',5117
5119,Pulaski County,'05119',5119
5121,Randolph County,'05121',5121
5123,St. Francis County,'05123',5123
5125,Saline County,'05125',5125
5127,Scott County,'05127',5127
5129,Searcy County,'05129',5129
5131,Sebastian County,'05131',5131
5133,Sevier County,'05133',5133
5135,Sharp County,'05135',5135
5137,Stone County,'05137',5137
5139,Union County,'05139',5139
5141,Van Buren County,'05141',5141
5143,Washington County,'05143',5143
5145,White County,'05145',5145
5147,Woodruff County,'05147',5147
5149,Yell County,'05149',5149
6001,Alameda County,'06001',6001
6003,Alpine County,'06003',6003
6005,Amador County,'06005',6005
6007,Butte County,'06007',6007
6009,Calaveras County,'06009',6009
6011,Colusa County,'06011',6011
6013,Contra Costa County,'06013',6013
6015,Del Norte County,'06015',6015
6017,El Dorado County,'06017',6017
6019,Fresno County,'06019',6019
6021,Glenn County,'06021',6021
6023,Humboldt County,'06023',6023
6025,Imperial County,'06025',6025
6027,Inyo County,'06027',6027
6029,Kern County,'06029',6029
6031,Kings County,'06031',6031
6033,Lake County,'06033',6033
6035,Lassen County,'06035',6035
6037,Los Angeles County,'06037',6037
6039,Madera County,'06039',6039
6041,Marin County,'06041',6041
6043,Mariposa County,'06043',6043
6045,Mendocino County,'06045',6045
6047,Merced County,'06047',6047
6049,Modoc County,'06049',6049
6051,Mono County,'06051',6051
6053,Monterey County,'06053',6053
6055,Napa County,'06055',6055
6057,Nevada County,'06057',6057
6059,Orange County,'06059',6059
6061,Placer County,'06061',6061
6063,Plumas County,'06063',6063
6065,Riverside County,'06065',6065
6067,Sacramento County,'06067',6067
6069,San Benito County,'06069',6069
6071,San Bernardino County,'06071',6071
6073,San Diego County,'06073',6073
6075,"San Francisco, City and County of[h]",'06075',6075
6077,San Joaquin County,'06077',6077
6079,San Luis Obispo County,'06079',6079
6081,San Mateo County,'06081',6081
6083,Santa Barbara County,'06083',6083
6085,Santa Clara County,'06085',6085
6087,Santa Cruz County,'06087',6087
6089,Shasta County,'06089',6089
6091,Sierra County,'06091',6091
6093,Siskiyou County,'06093',6093
6095,Solano County,'06095',6095
6097,Sonoma County,'06097',6097
6099,Stanislaus County,'06099',6099
6101,Sutter County,'06101',6101
6103,Tehama County,'06103',6103
6105,Trinity County,'06105',6105
6107,Tulare County,'06107',6107
6109,Tuolumne County,'06109',6109
6111,Ventura County,'06111',6111
6113,Yolo County,'06113',6113
6115,Yuba County,'06115',6115
8001,Adams County,'08001',8001
8003,Alamosa County,'08003',8003
8005,Arapahoe County,'08005',8005
8007,Archuleta County,'08007',8007
8009,Baca County,'08009',8009
8011,Bent County,'08011',8011
8013,Boulder County,'08013',8013
8014,"Broomfield, City and County of[i]",'08014',8014
8015,Chaffee County,'08015',8015
8017,Cheyenne County,'08017',8017
8019,Clear Creek County,'08019',8019
8021,Conejos County,'08021',8021
8023,Costilla County,'08023',8023
8025,Crowley County,'08025',8025
8027,Custer County,'08027',8027
8029,Delta County,'08029',8029
8031,"Denver, City and County of[j]",'08031',8031
8033,Dolores County,'08033',8033
8035,Douglas County,'08035',8035
8037,Eagle County,'08037',8037
8039,Elbert County,'08039',8039
8041,El Paso County,'08041',8041
8043,Fremont County,'08043',8043
8045,Garfield County,'08045',8045
8047,Gilpin County,'08047',8047
8049,Grand County,'08049',8049
8051,Gunnison County,'08051',8051
8053,Hinsdale County,'08053',8053
8055,Huerfano County,'08055',8055
8057,Jackson County,'08057',8057
8059,Jefferson County,'08059',8059
8061,Kiowa County,'08061',8061
8063,Kit Carson County,'08063',8063
8065,Lake County,'08065',8065
8067,La Plata County,'08067',8067
8069,Larimer County,'08069',8069
8071,Las Animas County,'08071',8071
8073,Lincoln County,'08073',8073
8075,Logan County,'08075',8075
8077,Mesa County,'08077',8077
8079,Mineral County,'08079',8079
8081,Moffat County,'08081',8081
8083,Montezuma County,'08083',8083
8085,Montrose County,'08085',8085
8087,Morgan County,'08087',8087
8089,Otero County,'08089',8089
8091,Ouray County,'08091',8091
8093,Park County,'08093',8093
8095,Phillips County,'08095',8095
8097,Pitkin County,'08097',8097
8099,Prowers County,'08099',8099
8101,Pueblo County,'08101',8101
8103,Rio Blanco County,'08103',8103
8105,Rio Grande County,'08105',8105
8107,Routt County,'08107',8107
8109,Saguache County,'08109',8109
8111,San Juan County,'08111',8111
8113,San Miguel County,'08113',8113
8115,Sedgwick County,'08115',8115
8117,Summit County,'08117',8117
8119,Teller County,'08119',8119
8121,Washington County,'08121',8121
8123,Weld County,'08123',8123
8125,Yuma County,'08125',8125
9001,Fairfield County[k],'09001',9001
9003,Hartford County[k],'09003',9003
9005,Litchfield County[k],'09005',9005
9007,Middlesex County[k],'09007',9007
9009,New Haven County[k],'09009',9009
9011,New London County[k],'09011',9011
9013,Tolland County[k],'09013',9013
9015,Windham County[k],'09015',9015
10001,Kent County,'10001',10001
10003,New Castle County,'10003',10003
10005,Sussex County,'10005',10005
11001,District of Columbia[l],'11001',11001
12001,Alachua County,'12001',12001
12003,Baker County,'12003',12003
12005,Bay County,'12005',12005
12007,Bradford County,'12007',12007
12009,Brevard County,'12009',12009
12011,Broward County,'12011',12011
12013,Calhoun County,'12013',12013
12015,Charlotte County,'12015',12015
12017,Citrus County,'12017',12017
12019,Clay County,'12019',12019
12021,Collier County,'12021',12021
12023,Columbia County,'12023',12023
12027,DeSoto County,'12027',12027
12029,Dixie County,'12029',12029
12031,Duval County,'12031',12031
12033,Escambia County,'12033',12033
12035,Flagler County,'12035',12035
12037,Franklin County,'12037',12037
12039,Gadsden County,'12039',12039
12041,Gilchrist County,'12041',12041
12043,Glades County,'12043',12043
12045,Gulf County,'12045',12045
12047,Hamilton County,'12047',12047
12049,Hardee County,'12049',12049
12051,Hendry County,'12051',12051
12053,Hernando County,'12053',12053
12055,Highlands County,'12055',12055
12057,Hillsborough County,'12057',12057
12059,Holmes County,'12059',12059
12061,Indian River County,'12061',12061
12063,Jackson County,'12063',12063
12065,Jefferson County,'12065',12065
12067,Lafayette County,'12067',12067
12069,Lake County,'12069',12069
12071,Lee County,'12071',12071
12073,Leon County,'12073',12073
12075,Levy County,'12075',12075
12077,Liberty County,'12077',12077
12079,Madison County,'12079',12079
12081,Manatee County,'12081',12081
12083,Marion County,'12083',12083
12085,Martin County,'12085',12085
12086,Miami-Dade County,'12086',12086
12087,Monroe County,'12087',12087
12089,Nassau County,'12089',12089
12091,Okaloosa County,'12091',12091
12093,Okeechobee County,'12093',12093
12095,Orange County,'12095',12095
12097,Osceola County,'12097',12097
12099,Palm Beach County,'12099',12099
12101,Pasco County,'12101',12101
12103,Pinellas County,'12103',12103
12105,Polk County,'12105',12105
12107,Putnam County,'12107',12107
12109,St. Johns County,'12109',12109
12111,St. Lucie County,'12111',12111
12113,Santa Rosa County,'12113',12113
12115,Sarasota County,'12115',12115
12117,Seminole County,'12117',12117
12119,Sumter County,'12119',12119
12121,Suwannee County,'12121',12121
12123,Taylor County,'12123',12123
12125,Union County,'12125',12125
12127,Volusia County,'12127',12127
12129,Wakulla County,'12129',12129
12131,Walton County,'12131',12131
12133,Washington County,'12133',12133
13001,Appling County,'13001',13001
13003,Atkinson County,'13003',13003
13005,Bacon County,'13005',13005
13007,Baker County,'13007',13007
13009,Baldwin County,'13009',13009
13011,Banks County,'13011',13011
13013,Barrow County,'13013',13013
13015,Bartow County,'13015',13015
13017,Ben Hill County,'13017',13017
13019,Berrien County,'13019',13019
13021,Bibb County,'13021',13021
13023,Bleckley County,'13023',13023
13025,Brantley County,'13025',13025
13027,Brooks County,'13027',13027
13029,Bryan County,'13029',13029
13031,Bulloch County,'13031',13031
13033,Burke County,'13033',13033
13035,Butts County,'13035',13035
13037,Calhoun County,'13037',13037
13039,Camden County,'13039',13039
13043,Candler County,'13043',13043
13045,Carroll County,'13045',13045
13047,Catoosa County,'13047',13047
13049,Charlton County,'13049',13049
13051,Chatham County,'13051',13051
13053,Chattahoochee County,'13053',13053
13055,Chattooga County,'13055',13055
13057,Cherokee County,'13057',13057
13059,Clarke County,'13059',13059
13061,Clay County,'13061',13061
13063,Clayton County,'13063',13063
13065,Clinch County,'13065',13065
13067,Cobb County,'13067',13067
13069,Coffee County,'13069',13069
13071,Colquitt County,'13071',13071
13073,Columbia County,'13073',13073
13075,Cook County,'13075',13075
13077,Coweta County,'13077',13077
13079,Crawford County,'13079',13079
13081,Crisp County,'13081',13081
13083,Dade County,'13083',13083
13085,Dawson County,'13085',13085
13087,Decatur County,'13087',13087
13089,DeKalb County,'13089',13089
13091,Dodge County,'13091',13091
13093,Dooly County,'13093',13093
13095,Dougherty County,'13095',13095
13097,Douglas County,'13097',13097
13099,Early County,'13099',13099
13101,Echols County,'13101',13101
13103,Effingham County,'13103',13103
13105,Elbert County,'13105',13105
13107,Emanuel County,'13107',13107
13109,Evans County,'13109',13109
13111,Fannin County,'13111',13111
13113,Fayette County,'13113',13113
13115,Floyd County,'13115',13115
13117,Forsyth County,'13117',13117
13119,Franklin County,'13119',13119
13121,Fulton County,'13121',13121
13123,Gilmer County,'13123',13123
13125,Glascock County,'13125',13125
13127,Glynn County,'13127',13127
13129,Gordon County,'13129',13129
13131,Grady County,'13131',13131
13133,Greene County,'13133',13133
13135,Gwinnett County,'13135',13135
13137,Habersham County,'13137',13137
13139,Hall County,'13139',13139
13141,Hancock County,'13141',13141
13143,Haralson County,'13143',13143
13145,Harris County,'13145',13145
13147,Hart County,'13147',13147
13149,Heard County,'13149',13149
13151,Henry County,'13151',13151
13153,Houston County,'13153',13153
13155,Irwin County,'13155',13155
13157,Jackson County,'13157',13157
13159,Jasper County,'13159',13159
13161,Jeff Davis County,'13161',13161
13163,Jefferson County,'13163',13163
13165,Jenkins County,'13165',13165
13167,Johnson County,'13167',13167
13169,Jones County,'13169',13169
13171,Lamar County,'13171',13171
13173,Lanier County,'13173',13173
13175,Laurens County,'13175',13175
13177,Lee County,'13177',13177
13179,Liberty County,'13179',13179
13181,Lincoln County,'13181',13181
13183,Long County,'13183',13183
13185,Lowndes County,'13185',13185
13187,Lumpkin County,'13187',13187
13189,McDuffie County,'13189',13189
13191,McIntosh County,'13191',13191
13193,Macon County,'13193',13193
13195,Madison County,'13195',13195
13197,Marion County,'13197',13197
13199,Meriwether County,'13199',13199
13201,Miller County,'13201',13201
13205,Mitchell County,'13205',13205
13207,Monroe County,'13207',13207
13209,Montgomery County,'13209',13209
13211,Morgan County,'13211',13211
13213,Murray County,'13213',13213
13215,Muscogee County,'13215',13215
13217,Newton County,'13217',13217
13219,Oconee County,'13219',13219
13221,Oglethorpe County,'13221',13221
13223,Paulding County,'13223',13223
13225,Peach County,'13225',13225
13227,Pickens County,'13227',13227
13229,Pierce County,'13229',13229
13231,Pike County,'13231',13231
13233,Polk County,'13233',13233
13235,Pulaski County,'13235',13235
13237,Putnam County,'13237',13237
13239,Quitman County,'13239',13239
13241,Rabun County,'13241',13241
13243,Randolph County,'13243',13243
13245,Richmond County,'13245',13245
13247,Rockdale County,'13247',13247
13249,Schley County,'13249',13249
13251,Screven County,'13251',13251
13253,Seminole County,'13253',13253
13255,Spalding County,'13255',13255
13257,Stephens County,'13257',13257
13259,Stewart County,'13259',13259
13261,Sumter County,'13261',13261
13263,Talbot County,'13263',13263
13265,Taliaferro County,'13265',13265
13267,Tattnall County,'13267',13267
13269,Taylor County,'13269',13269
13271,Telfair County,'13271',13271
13273,Terrell County,'13273',13273
13275,Thomas County,'13275',13275
13277,Tift County,'13277',13277
13279,Toombs County,'13279',13279
13281,Towns County,'13281',13281
13283,Treutlen County,'13283',13283
13285,Troup County,'13285',13285
13287,Turner County,'13287',13287
13289,Twiggs County,'13289',13289
13291,Union County,'13291',13291
13293,Upson County,'13293',13293
13295,Walker County,'13295',13295
13297,Walton County,'13297',13297
13299,Ware County,'13299',13299
13301,Warren County,'13301',13301
13303,Washington County,'13303',13303
13305,Wayne County,'13305',13305
13307,Webster County,'13307',13307
13309,Wheeler County,'13309',13309
13311,White County,'13311',13311
13313,Whitfield County,'13313',13313
13315,Wilcox County,'13315',13315
13317,Wilkes County,'13317',13317
13319,Wilkinson County,'13319',13319
13321,Worth County,'13321',13321
66010,Guam[3],'66010',66010
15001,Hawaii County,'15001',15001
15003,"Honolulu, City and County of[m]",'15003',15003
15005,Kalawao County,'15005',15005
15007,Kauai County,'15007',15007
15009,Maui County,'15009',15009
16001,Ada County,'16001',16001
16003,Adams County,'16003',16003
16005,Bannock County,'16005',16005
16007,Bear Lake County,'16007',16007
16009,Benewah County,'16009',16009
16011,Bingham County,'16011',16011
16013,Blaine County,'16013',16013
16015,Boise County,'16015',16015
16017,Bonner County,'16017',16017
16019,Bonneville County,'16019',16019
16021,Boundary County,'16021',16021
16023,Butte County,'16023',16023
16025,Camas County,'16025',16025
16027,Canyon County,'16027',16027
16029,Caribou County,'16029',16029
16031,Cassia County,'16031',16031
16033,Clark County,'16033',16033
16035,Clearwater County,'16035',16035
16037,Custer County,'16037',16037
16039,Elmore County,'16039',16039
16041,Franklin County,'16041',16041
16043,Fremont County,'16043',16043
16045,Gem County,'16045',16045
16047,Gooding County,'16047',16047
16049,Idaho County,'16049',16049
16051,Jefferson County,'16051',16051
16053,Jerome County,'16053',16053
16055,Kootenai County,'16055',16055
16057,Latah County,'16057',16057
16059,Lemhi County,'16059',16059
16061,Lewis County,'16061',16061
16063,Lincoln County,'16063',16063
16065,Madison County,'16065',16065
16067,Minidoka County,'16067',16067
16069,Nez Perce County,'16069',16069
16071,Oneida County,'16071',16071
16073,Owyhee County,'16073',16073
16075,Payette County,'16075',16075
16077,Power County,'16077',16077
16079,Shoshone County,'16079',16079
16081,Teton County,'16081',16081
16083,Twin Falls County,'16083',16083
16085,Valley County,'16085',16085
16087,Washington County,'16087',16087
17001,Adams County,'17001',17001
17003,Alexander County,'17003',17003
17005,Bond County,'17005',17005
17007,Boone County,'17007',17007
17009,Brown County,'17009',17009
17011,Bureau County,'17011',17011
17013,Calhoun County,'17013',17013
17015,Carroll County,'17015',17015
17017,Cass County,'17017',17017
17019,Champaign County,'17019',17019
17021,Christian County,'17021',17021
17023,Clark County,'17023',17023
17025,Clay County,'17025',17025
17027,Clinton County,'17027',17027
17029,Coles County,'17029',17029
17031,Cook County,'17031',17031
17033,Crawford County,'17033',17033
17035,Cumberland County,'17035',17035
17037,DeKalb County,'17037',17037
17039,De Witt County,'17039',17039
17041,Douglas County,'17041',17041
17043,DuPage County,'17043',17043
17045,Edgar County,'17045',17045
17047,Edwards County,'17047',17047
17049,Effingham County,'17049',17049
17051,Fayette County,'17051',17051
17053,Ford County,'17053',17053
17055,Franklin County,'17055',17055
17057,Fulton County,'17057',17057
17059,Gallatin County,'17059',17059
17061,Greene County,'17061',17061
17063,Grundy County,'17063',17063
17065,Hamilton County,'17065',17065
17067,Hancock County,'17067',17067
17069,Hardin County,'17069',17069
17071,Henderson County,'17071',17071
17073,Henry County,'17073',17073
17075,Iroquois County,'17075',17075
17077,Jackson County,'17077',17077
17079,Jasper County,'17079',17079
17081,Jefferson County,'17081',17081
17083,Jersey County,'17083',17083
17085,Jo Daviess County,'17085',17085
17087,Johnson County,'17087',17087
17089,Kane County,'17089',17089
17091,Kankakee County,'17091',17091
17093,Kendall County,'17093',17093
17095,Knox County,'17095',17095
17097,Lake County,'17097',17097
17099,LaSalle County,'17099',17099
17101,Lawrence County,'17101',17101
17103,Lee County,'17103',17103
17105,Livingston County,'17105',17105
17107,Logan County,'17107',17107
17109,McDonough County,'17109',17109
17111,McHenry County,'17111',17111
17113,McLean County,'17113',17113
17115,Macon County,'17115',17115
17117,Macoupin County,'17117',17117
17119,Madison County,'17119',17119
17121,Marion County,'17121',17121
17123,Marshall County,'17123',17123
17125,Mason County,'17125',17125
17127,Massac County,'17127',17127
17129,Menard County,'17129',17129
17131,Mercer County,'17131',17131
17133,Monroe County,'17133',17133
17135,Montgomery County,'17135',17135
17137,Morgan County,'17137',17137
17139,Moultrie County,'17139',17139
17141,Ogle County,'17141',17141
17143,Peoria County,'17143',17143
17145,Perry County,'17145',17145
17147,Piatt County,'17147',17147
17149,Pike County,'17149',17149
17151,Pope County,'17151',17151
17153,Pulaski County,'17153',17153
17155,Putnam County,'17155',17155
17157,Randolph County,'17157',17157
17159,Richland County,'17159',17159
17161,Rock Island County,'17161',17161
17163,St. Clair County,'17163',17163
17165,Saline County,'17165',17165
17167,Sangamon County,'17167',17167
17169,Schuyler County,'17169',17169
17171,Scott County,'17171',17171
17173,Shelby County,'17173',17173
17175,Stark County,'17175',17175
17177,Stephenson County,'17177',17177
17179,Tazewell County,'17179',17179
17181,Union County,'17181',17181
17183,Vermilion County,'17183',17183
17185,Wabash County,'17185',17185
17187,Warren County,'17187',17187
17189,Washington County,'17189',17189
17191,Wayne County,'17191',17191
17193,White County,'17193',17193
17195,Whiteside County,'17195',17195
17197,Will County,'17197',17197
17199,Williamson County,'17199',17199
17201,Winnebago County,'17201',17201
17203,Woodford County,'17203',17203
18001,Adams County,'18001',18001
18003,Allen County,'18003',18003
18005,Bartholomew County,'18005',18005
18007,Benton County,'18007',18007
18009,Blackford County,'18009',18009
18011,Boone County,'18011',18011
18013,Brown County,'18013',18013
18015,Carroll County,'18015',18015
18017,Cass County,'18017',18017
18019,Clark County,'18019',18019
18021,Clay County,'18021',18021
18023,Clinton County,'18023',18023
18025,Crawford County,'18025',18025
18027,Daviess County,'18027',18027
18029,Dearborn County,'18029',18029
18031,Decatur County,'18031',18031
18033,DeKalb County,'18033',18033
18035,Delaware County,'18035',18035
18037,Dubois County,'18037',18037
18039,Elkhart County,'18039',18039
18041,Fayette County,'18041',18041
18043,Floyd County,'18043',18043
18045,Fountain County,'18045',18045
18047,Franklin County,'18047',18047
18049,Fulton County,'18049',18049
18051,Gibson County,'18051',18051
18053,Grant County,'18053',18053
18055,Greene County,'18055',18055
18057,Hamilton County,'18057',18057
18059,Hancock County,'18059',18059
18061,Harrison County,'18061',18061
18063,Hendricks County,'18063',18063
18065,Henry County,'18065',18065
18067,Howard County,'18067',18067
18069,Huntington County,'18069',18069
18071,Jackson County,'18071',18071
18073,Jasper County,'18073',18073
18075,Jay County,'18075',18075
18077,Jefferson County,'18077',18077
18079,Jennings County,'18079',18079
18081,Johnson County,'18081',18081
18083,Knox County,'18083',18083
18085,Kosciusko County,'18085',18085
18087,LaGrange County,'18087',18087
18089,Lake County,'18089',18089
18091,LaPorte County,'18091',18091
18093,Lawrence County,'18093',18093
18095,Madison County,'18095',18095
18097,Marion County,'18097',18097
18099,Marshall County,'18099',18099
18101,Martin County,'18101',18101
18103,Miami County,'18103',18103
18105,Monroe County,'18105',18105
18107,Montgomery County,'18107',18107
18109,Morgan County,'18109',18109
18111,Newton County,'18111',18111
18113,Noble County,'18113',18113
18115,Ohio County,'18115',18115
18117,Orange County,'18117',18117
18119,Owen County,'18119',18119
18121,Parke County,'18121',18121
18123,Perry County,'18123',18123
18125,Pike County,'18125',18125
18127,Porter County,'18127',18127
18129,Posey County,'18129',18129
18131,Pulaski County,'18131',18131
18133,Putnam County,'18133',18133
18135,Randolph County,'18135',18135
18137,Ripley County,'18137',18137
18139,Rush County,'18139',18139
18141,St. Joseph County,'18141',18141
18143,Scott County,'18143',18143
18145,Shelby County,'18145',18145
18147,Spencer County,'18147',18147
18149,Starke County,'18149',18149
18151,Steuben County,'18151',18151
18153,Sullivan County,'18153',18153
18155,Switzerland County,'18155',18155
18157,Tippecanoe County,'18157',18157
18159,Tipton County,'18159',18159
18161,Union County,'18161',18161
18163,Vanderburgh County,'18163',18163
18165,Vermillion County,'18165',18165
18167,Vigo County,'18167',18167
18169,Wabash County,'18169',18169
18171,Warren County,'18171',18171
18173,Warrick County,'18173',18173
18175,Washington County,'18175',18175
18177,Wayne County,'18177',18177
18179,Wells County,'18179',18179
18181,White County,'18181',18181
18183,Whitley County,'18183',18183
19001,Adair County,'19001',19001
19003,Adams County,'19003',19003
19005,Allamakee County,'19005',19005
19007,Appanoose County,'19007',19007
19009,Audubon County,'19009',19009
19011,Benton County,'19011',19011
19013,Black Hawk County,'19013',19013
19015,Boone County,'19015',19015
19017,Bremer County,'19017',19017
19019,Buchanan County,'19019',19019
19021,Buena Vista County,'19021',19021
19023,Butler County,'19023',19023
19025,Calhoun County,'19025',19025
19027,Carroll County,'19027',19027
19029,Cass County,'19029',19029
19031,Cedar County,'19031',19031
19033,Cerro Gordo County,'19033',19033
19035,Cherokee County,'19035',19035
19037,Chickasaw County,'19037',19037
19039,Clarke County,'19039',19039
19041,Clay County,'19041',19041
19043,Clayton County,'19043',19043
19045,Clinton County,'19045',19045
19047,Crawford County,'19047',19047
19049,Dallas County,'19049',19049
19051,Davis County,'19051',19051
19053,Decatur County,'19053',19053
19055,Delaware County,'19055',19055
19057,Des Moines County,'19057',19057
19059,Dickinson County,'19059',19059
19061,Dubuque County,'19061',19061
19063,Emmet County,'19063',19063
19065,Fayette County,'19065',19065
19067,Floyd County,'19067',19067
19069,Franklin County,'19069',19069
19071,Fremont County,'19071',19071
19073,Greene County,'19073',19073
19075,Grundy County,'19075',19075
19077,Guthrie County,'19077',19077
19079,Hamilton County,'19079',19079
19081,Hancock County,'19081',19081
19083,Hardin County,'19083',19083
19085,Harrison County,'19085',19085
19087,Henry County,'19087',19087
19089,Howard County,'19089',19089
19091,Humboldt County,'19091',19091
19093,Ida County,'19093',19093
19095,Iowa County,'19095',19095
19097,Jackson County,'19097',19097
19099,Jasper County,'19099',19099
19101,Jefferson County,'19101',19101
19103,Johnson County,'19103',19103
19105,Jones County,'19105',19105
19107,Keokuk County,'19107',19107
19109,Kossuth County,'19109',19109
